fiscal_year,month,week,temperature,precipitation,marketing_spend,store,promotion,holiday,natural_disaster,product_category,avg_selling_price,planned_avg_selling_price,planned_units,Fiscal Quarter,Unemployment %,Core PCE YoY %,Fed Funds %,30yr Mortgage %,Median US Home Sale Price,Real Disposable Personal Income,Avg US Gas Prices (Regular),WTI Crude Oil Spot Price,Housing Starts,U of M Consumer Sentiment,promotion_discount,unit_sales
2020,1,1,60.76223872,2.85,34258.85,Texas,1,1,0,Garden Equipment,322.6222303,320.86,149,1,3.5,1.7,1.6,3.5,329000,15918,2.455,50.36,1537,101,2,1291.552253
2020,1,1,60.76223872,2.85,24850.58,Texas,1,1,0,HVAC,354.6168668,354.69,72,1,3.5,1.7,1.6,3.5,329000,15918,2.455,50.36,1537,101,2,836.87645
2020,1,1,60.76223872,2.85,24409.52,Texas,0,1,0,Outdoor Furniture,558.7526157,497.6,316,1,3.5,1.7,1.6,3.5,329000,15918,2.455,50.36,1537,101,0,1254.389714
2020,1,1,60.76223872,2.85,23991.22,Texas,0,1,0,Building Materials,205.5360989,230.5,716,1,3.5,1.7,1.6,3.5,329000,15918,2.455,50.36,1537,101,0,1571.655912
2020,1,1,60.76223872,2.85,41006.74,Texas,1,1,0,Home Appliances,254.8145088,239.25,721,1,3.5,1.7,1.6,3.5,329000,15918,2.455,50.36,1537,101,4,2401.141779
2020,1,2,60.76223872,2.85,13791.16,Texas,0,0,0,Garden Equipment,345.0335845,320.86,149,1,3.5,1.7,1.6,3.5,329000,15918,2.419,50.83,1537,101,0,534.5632494
2020,1,2,60.76223872,2.85,24140.9,Texas,1,0,0,HVAC,363.9396518,354.69,72,1,3.5,1.7,1.6,3.5,329000,15918,2.419,50.83,1537,101,4,842.3119756
2020,1,2,60.76223872,2.85,14764.9,Texas,1,0,0,Outdoor Furniture,470.1106408,497.6,316,1,3.5,1.7,1.6,3.5,329000,15918,2.419,50.83,1537,101,3,755.3276559
2020,1,2,60.76223872,2.85,23913.57,Texas,1,0,0,Building Materials,224.5545399,230.5,716,1,3.5,1.7,1.6,3.5,329000,15918,2.419,50.83,1537,101,3,1445.553236
2020,1,2,60.76223872,2.85,18237.36,Texas,0,0,0,Home Appliances,237.700272,239.25,721,1,3.5,1.7,1.6,3.5,329000,15918,2.419,50.83,1537,101,0,1407.779158
2020,1,3,60.76223872,2.85,6737.3,Texas,0,0,0,Garden Equipment,295.3940432,320.86,149,1,3.5,1.7,1.6,3.5,329000,15918,2.428,53.14,1537,101,0,353.719685
2020,1,3,60.76223872,2.85,17139.42,Texas,0,0,0,HVAC,397.4834,354.69,72,1,3.5,1.7,1.6,3.5,329000,15918,2.428,53.14,1537,101,0,577.7447968
2020,1,3,60.76223872,2.85,25502.35,Texas,1,0,0,Outdoor Furniture,510.0794177,497.6,316,1,3.5,1.7,1.6,3.5,329000,15918,2.428,53.14,1537,101,2,929.8991077
2020,1,3,60.76223872,2.85,15602.74,Texas,1,0,0,Building Materials,225.2347867,230.5,716,1,3.5,1.7,1.6,3.5,329000,15918,2.428,53.14,1537,101,5,2236.231727
2020,1,3,60.76223872,2.85,15209.79,Texas,1,0,1,Home Appliances,226.6481735,239.25,721,1,3.5,1.7,1.6,3.5,329000,15918,2.428,53.14,1537,101,10,2009.762003
2020,1,4,60.76223872,2.85,14874.47,Texas,1,0,0,Garden Equipment,328.5787729,320.86,149,1,3.5,1.7,1.6,3.5,329000,15918,2.466,48.36,1537,101,2,669.4009869
2020,1,4,60.76223872,2.85,15358.14,Texas,1,0,0,HVAC,398.9230864,354.69,72,1,3.5,1.7,1.6,3.5,329000,15918,2.466,48.36,1537,101,5,601.1330209
2020,1,4,60.76223872,2.85,17783.35,Texas,1,0,0,Outdoor Furniture,543.71259,497.6,316,1,3.5,1.7,1.6,3.5,329000,15918,2.466,48.36,1537,101,3,983.5992245
2020,1,4,60.76223872,2.85,5044.19,Texas,0,0,0,Building Materials,243.3342163,230.5,716,1,3.5,1.7,1.6,3.5,329000,15918,2.466,48.36,1537,101,0,1193.573361
2020,1,4,60.76223872,2.85,11449.57,Texas,0,0,0,Home Appliances,211.3405204,239.25,721,1,3.5,1.7,1.6,3.5,329000,15918,2.466,48.36,1537,101,0,1222.462499
2020,2,1,58.31621472,1.48,14857.43,Texas,0,0,1,Garden Equipment,341.1857731,320.86,149,1,4.4,1.5,0.7,3.3,329000,15696.3,2.423,45.57,1252,89.1,0,431.7998649
2020,2,1,58.31621472,1.48,14857.43,Texas,0,0,0,Garden Equipment,336.6194465,320.86,149,1,4.4,1.5,0.7,3.3,329000,15696.3,2.005,21.69,1252,89.1,0,661.254863
2020,2,1,58.31621472,1.48,23799.94,Texas,1,0,0,HVAC,367.5309061,354.69,72,1,4.4,1.5,0.7,3.3,329000,15696.3,2.423,45.57,1252,89.1,5,853.3954906
2020,2,1,58.31621472,1.48,23799.94,Texas,1,0,0,HVAC,371.4820343,354.69,72,1,4.4,1.5,0.7,3.3,329000,15696.3,2.005,21.69,1252,89.1,2,823.7578124
2020,2,1,58.31621472,1.48,18543.72,Texas,0,0,0,Outdoor Furniture,493.7910427,497.6,316,1,4.4,1.5,0.7,3.3,329000,15696.3,2.423,45.57,1252,89.1,0,973.8738775
2020,2,1,58.31621472,1.48,18543.72,Texas,0,0,0,Outdoor Furniture,515.1726412,497.6,316,1,4.4,1.5,0.7,3.3,329000,15696.3,2.005,21.69,1252,89.1,0,818.5653437
2020,2,1,58.31621472,1.48,6161.25,Texas,0,0,0,Building Materials,246.8833347,230.5,716,1,4.4,1.5,0.7,3.3,329000,15696.3,2.423,45.57,1252,89.1,0,836.3194312
2020,2,1,58.31621472,1.48,6161.25,Texas,0,0,0,Building Materials,246.2273398,230.5,716,1,4.4,1.5,0.7,3.3,329000,15696.3,2.005,21.69,1252,89.1,0,879.453731
2020,2,1,58.31621472,1.48,16541.23,Texas,0,0,0,Home Appliances,209.9146536,239.25,721,1,4.4,1.5,0.7,3.3,329000,15696.3,2.423,45.57,1252,89.1,0,1255.141672
2020,2,1,58.31621472,1.48,16541.23,Texas,0,0,0,Home Appliances,210.6686739,239.25,721,1,4.4,1.5,0.7,3.3,329000,15696.3,2.005,21.69,1252,89.1,0,1101.09427
2020,2,2,58.31621472,1.48,14249.87,Texas,1,0,0,Garden Equipment,339.1525784,320.86,149,1,4.4,1.5,0.7,3.4,329000,15696.3,2.375,32.39,1252,89.1,3,646.4076894
2020,2,2,58.31621472,1.48,16902.62,Texas,1,0,0,HVAC,402.3599524,354.69,72,1,4.4,1.5,0.7,3.4,329000,15696.3,2.375,32.39,1252,89.1,4,618.7572153
2020,2,2,58.31621472,1.48,17156.25,Texas,1,0,0,Outdoor Furniture,498.2782173,497.6,316,1,4.4,1.5,0.7,3.4,329000,15696.3,2.375,32.39,1252,89.1,10,1054.179134
2020,2,2,58.31621472,1.48,14888.41,Texas,1,0,0,Building Materials,234.9838115,230.5,716,1,4.4,1.5,0.7,3.4,329000,15696.3,2.375,32.39,1252,89.1,4,1392.658354
2020,2,2,58.31621472,1.48,5580.79,Texas,0,0,0,Home Appliances,252.0280348,239.25,721,1,4.4,1.5,0.7,3.4,329000,15696.3,2.375,32.39,1252,89.1,0,724.8149926
2020,2,3,58.31621472,1.48,4105.34,Texas,0,0,0,Garden Equipment,311.9012181,320.86,149,1,4.4,1.5,0.7,3.7,329000,15696.3,2.248,24.19,1252,89.1,0,277.0435607
2020,2,3,58.31621472,1.48,22419.41,Texas,1,0,0,HVAC,328.6235313,354.69,72,1,4.4,1.5,0.7,3.7,329000,15696.3,2.248,24.19,1252,89.1,3,802.2047938
