fiscal_year,month,week,temperature,precipitation,marketing_spend,store,promotion,holiday,natural_disaster,product_category,avg_selling_price,planned_avg_selling_price,planned_units,Fiscal Quarter,Unemployment %,Core PCE YoY %,Fed Funds %,30yr Mortgage %,Median US Home Sale Price,Real Disposable Personal Income,Avg US Gas Prices (Regular),WTI Crude Oil Spot Price,Housing Starts,U of M Consumer Sentiment,promotion_discount,unit_sales
2020,1,1,88.95173459,18.4,28520.79,Hawaii,1,1,0,Garden Equipment,241.6616423,249.1,474,1,3.5,1.7,1.6,3.5,329000,15918,2.455,50.36,1537,101,4,1515.50632
2020,1,1,88.95173459,18.4,16010.16,Hawaii,0,1,0,HVAC,476.2246732,439.15,437,1,3.5,1.7,1.6,3.5,329000,15918,2.455,50.36,1537,101,0,1037.424383
2020,1,1,88.95173459,18.4,26531.33,Hawaii,1,1,0,Outdoor Furniture,427.2744981,424.65,210,1,3.5,1.7,1.6,3.5,329000,15918,2.455,50.36,1537,101,2,1083.146706
2020,1,1,88.95173459,18.4,18221.82,Hawaii,0,1,0,Building Materials,383.9010974,366.06,692,1,3.5,1.7,1.6,3.5,329000,15918,2.455,50.36,1537,101,0,1629.79375
2020,1,1,88.95173459,18.4,25459.75,Hawaii,0,1,0,Home Appliances,287.8110788,284.76,594,1,3.5,1.7,1.6,3.5,329000,15918,2.455,50.36,1537,101,0,1508.789419
2020,1,2,88.95173459,18.4,5752.67,Hawaii,0,0,0,Garden Equipment,239.9403335,249.1,474,1,3.5,1.7,1.6,3.5,329000,15918,2.419,50.83,1537,101,0,578.3478226
2020,1,2,88.95173459,18.4,22307.21,Hawaii,1,0,0,HVAC,461.0533387,439.15,437,1,3.5,1.7,1.6,3.5,329000,15918,2.419,50.83,1537,101,10,1294.269869
2020,1,2,88.95173459,18.4,7058.47,Hawaii,0,0,0,Outdoor Furniture,396.4483949,424.65,210,1,3.5,1.7,1.6,3.5,329000,15918,2.419,50.83,1537,101,0,442.939708
2020,1,2,88.95173459,18.4,14094.96,Hawaii,0,0,0,Building Materials,335.9667574,366.06,692,1,3.5,1.7,1.6,3.5,329000,15918,2.419,50.83,1537,101,0,1161.378149
2020,1,2,88.95173459,18.4,13549.96,Hawaii,0,0,0,Home Appliances,266.2118522,284.76,594,1,3.5,1.7,1.6,3.5,329000,15918,2.419,50.83,1537,101,0,1113.179936
2020,1,3,88.95173459,18.4,18577.67,Hawaii,1,0,0,Garden Equipment,272.5667443,249.1,474,1,3.5,1.7,1.6,3.5,329000,15918,2.428,53.14,1537,101,10,1386.656752
2020,1,3,88.95173459,18.4,10848.06,Hawaii,0,0,0,HVAC,419.6750957,439.15,437,1,3.5,1.7,1.6,3.5,329000,15918,2.428,53.14,1537,101,0,792.4636033
2020,1,3,88.95173459,18.4,19233.66,Hawaii,1,0,0,Outdoor Furniture,449.2194573,424.65,210,1,3.5,1.7,1.6,3.5,329000,15918,2.428,53.14,1537,101,2,794.2205128
2020,1,3,88.95173459,18.4,8530.8,Hawaii,0,0,0,Building Materials,360.7787401,366.06,692,1,3.5,1.7,1.6,3.5,329000,15918,2.428,53.14,1537,101,0,851.2033659
2020,1,3,88.95173459,18.4,16774.74,Hawaii,0,0,0,Home Appliances,281.541231,284.76,594,1,3.5,1.7,1.6,3.5,329000,15918,2.428,53.14,1537,101,0,1139.270708
2020,1,4,88.95173459,18.4,10722.39,Hawaii,0,0,0,Garden Equipment,276.8850701,249.1,474,1,3.5,1.7,1.6,3.5,329000,15918,2.466,48.36,1537,101,0,575.2555977
2020,1,4,88.95173459,18.4,5012.02,Hawaii,0,0,1,HVAC,453.9170495,439.15,437,1,3.5,1.7,1.6,3.5,329000,15918,2.466,48.36,1537,101,0,610.4691905
2020,1,4,88.95173459,18.4,7577.49,Hawaii,0,0,0,Outdoor Furniture,437.8771198,424.65,210,1,3.5,1.7,1.6,3.5,329000,15918,2.466,48.36,1537,101,0,477.4569446
2020,1,4,88.95173459,18.4,24608.97,Hawaii,1,0,0,Building Materials,339.796572,366.06,692,1,3.5,1.7,1.6,3.5,329000,15918,2.466,48.36,1537,101,3,2141.469213
2020,1,4,88.95173459,18.4,9492.06,Hawaii,0,0,0,Home Appliances,291.2923302,284.76,594,1,3.5,1.7,1.6,3.5,329000,15918,2.466,48.36,1537,101,0,938.6267195
2020,2,1,82.54603532,17.13,11216.99,Hawaii,0,0,0,Garden Equipment,222.4105606,249.1,474,1,4.4,1.5,0.7,3.3,329000,15696.3,2.423,45.57,1252,89.1,0,1244.352273
2020,2,1,82.54603532,17.13,11216.99,Hawaii,0,0,0,Garden Equipment,238.8246252,249.1,474,1,4.4,1.5,0.7,3.3,329000,15696.3,2.005,21.69,1252,89.1,0,1108.026595
2020,2,1,82.54603532,17.13,13471.43,Hawaii,1,0,0,HVAC,457.9762861,439.15,437,1,4.4,1.5,0.7,3.3,329000,15696.3,2.423,45.57,1252,89.1,3,942.9795643
