fiscal_year,month,week,temperature,precipitation,marketing_spend,store,promotion,holiday,natural_disaster,product_category,avg_selling_price,planned_avg_selling_price,planned_units,Fiscal Quarter,Unemployment %,Core PCE YoY %,Fed Funds %,30yr Mortgage %,Median US Home Sale Price,Real Disposable Personal Income,Avg US Gas Prices (Regular),WTI Crude Oil Spot Price,Housing Starts,U of M Consumer Sentiment,promotion_discount,unit_sales
2020,1,1,52.36756971,2.37,25992.37,Virginia Beach,0,1,0,Garden Equipment,472.1745682,443.91,926,1,3.5,1.7,1.6,3.5,329000,15918,2.455,50.36,1537,101,0,2014.42399
2020,1,1,52.36756971,2.37,27038.26,Virginia Beach,0,1,0,HVAC,354.4521863,329.23,293,1,3.5,1.7,1.6,3.5,329000,15918,2.455,50.36,1537,101,0,1116.63426
2020,1,1,52.36756971,2.37,34524.15,Virginia Beach,1,1,0,Outdoor Furniture,61.25972966,63.96,775,1,3.5,1.7,1.6,3.5,329000,15918,2.455,50.36,1537,101,10,2490.802273
2020,1,1,52.36756971,2.37,40124.3,Virginia Beach,1,1,0,Building Materials,324.9944537,336.87,725,1,3.5,1.7,1.6,3.5,329000,15918,2.455,50.36,1537,101,3,2162.057564
2020,1,1,52.36756971,2.37,28339.22,Virginia Beach,0,1,0,Home Appliances,132.3243208,149.71,634,1,3.5,1.7,1.6,3.5,329000,15918,2.455,50.36,1537,101,0,1953.668428
2020,1,2,52.36756971,2.37,17570.92,Virginia Beach,1,0,0,Garden Equipment,443.8807207,443.91,926,1,3.5,1.7,1.6,3.5,329000,15918,2.419,50.83,1537,101,5,1560.98982
2020,1,2,52.36756971,2.37,18255.78,Virginia Beach,0,0,0,HVAC,345.0401408,329.23,293,1,3.5,1.7,1.6,3.5,329000,15918,2.419,50.83,1537,101,0,862.4027767
2020,1,2,52.36756971,2.37,5103.8,Virginia Beach,0,0,0,Outdoor Furniture,69.00198877,63.96,775,1,3.5,1.7,1.6,3.5,329000,15918,2.419,50.83,1537,101,0,785.680953
2020,1,2,52.36756971,2.37,18174.66,Virginia Beach,1,0,0,Building Materials,307.806085,336.87,725,1,3.5,1.7,1.6,3.5,329000,15918,2.419,50.83,1537,101,4,1539.82991
2020,1,2,52.36756971,2.37,12187,Virginia Beach,1,0,0,Home Appliances,137.3000629,149.71,634,1,3.5,1.7,1.6,3.5,329000,15918,2.419,50.83,1537,101,10,1126.803969
2020,1,3,52.36756971,2.37,9428.06,Virginia Beach,0,0,0,Garden Equipment,488.2865182,443.91,926,1,3.5,1.7,1.6,3.5,329000,15918,2.428,53.14,1537,101,0,1360.405877
2020,1,3,52.36756971,2.37,9046.59,Virginia Beach,0,0,0,HVAC,303.3100809,329.23,293,1,3.5,1.7,1.6,3.5,329000,15918,2.428,53.14,1537,101,0,522.9343833
2020,1,3,52.36756971,2.37,21147.49,Virginia Beach,1,0,0,Outdoor Furniture,65.99968088,63.96,775,1,3.5,1.7,1.6,3.5,329000,15918,2.428,53.14,1537,101,4,1494.430939
2020,1,3,52.36756971,2.37,12607.61,Virginia Beach,0,0,0,Building Materials,320.3540289,336.87,725,1,3.5,1.7,1.6,3.5,329000,15918,2.428,53.14,1537,101,0,1081.317891
2020,1,3,52.36756971,2.37,14946.48,Virginia Beach,1,0,0,Home Appliances,164.5403107,149.71,634,1,3.5,1.7,1.6,3.5,329000,15918,2.428,53.14,1537,101,2,1056.362928
2020,1,4,52.36756971,2.37,11948.71,Virginia Beach,1,0,0,Garden Equipment,486.0318698,443.91,926,1,3.5,1.7,1.6,3.5,329000,15918,2.466,48.36,1537,101,2,1445.613513
2020,1,4,52.36756971,2.37,19884.58,Virginia Beach,1,0,0,HVAC,302.9383285,329.23,293,1,3.5,1.7,1.6,3.5,329000,15918,2.466,48.36,1537,101,4,1012.70745
2020,1,4,52.36756971,2.37,23156.59,Virginia Beach,1,0,0,Outdoor Furniture,59.88579152,63.96,775,1,3.5,1.7,1.6,3.5,329000,15918,2.466,48.36,1537,101,5,1816.722379
2020,1,4,52.36756971,2.37,22597.36,Virginia Beach,1,0,0,Building Materials,325.1792279,336.87,725,1,3.5,1.7,1.6,3.5,329000,15918,2.466,48.36,1537,101,10,1630.03638
2020,1,4,52.36756971,2.37,7859.37,Virginia Beach,0,0,0,Home Appliances,158.1794566,149.71,634,1,3.5,1.7,1.6,3.5,329000,15918,2.466,48.36,1537,101,0,1080.636824
2020,2,1,44.20291888,4.56,21077.22,Virginia Beach,1,0,0,Garden Equipment,459.5223151,443.91,926,1,4.4,1.5,0.7,3.3,329000,15696.3,2.423,45.57,1252,89.1,5,1580.737656
2020,2,1,44.20291888,4.56,21077.22,Virginia Beach,1,0,0,Garden Equipment,486.9321873,443.91,926,1,4.4,1.5,0.7,3.3,329000,15696.3,2.005,21.69,1252,89.1,4,1628.087337
2020,2,1,44.20291888,4.56,20732.1,Virginia Beach,1,0,0,HVAC,377.323593,329.23,293,1,4.4,1.5,0.7,3.3,329000,15696.3,2.423,45.57,1252,89.1,5,1051.393415
2020,2,1,44.20291888,4.56,20732.1,Virginia Beach,1,0,0,HVAC,344.5004313,329.23,293,1,4.4,1.5,0.7,3.3,329000,15696.3,2.005,21.69,1252,89.1,5,1053.875153
2020,2,1,44.20291888,4.56,18085.31,Virginia Beach,1,0,0,Outdoor Furniture,60.49354317,63.96,775,1,4.4,1.5,0.7,3.3,329000,15696.3,2.423,45.57,1252,89.1,10,1827.904445
2020,2,1,44.20291888,4.56,18085.31,Virginia Beach,1,0,0,Outdoor Furniture,64.57374641,63.96,775,1,4.4,1.5,0.7,3.3,329000,15696.3,2.005,21.69,1252,89.1,3,1623.616606
2020,2,1,44.20291888,4.56,21528.78,Virginia Beach,1,0,0,Building Materials,339.7722496,336.87,725,1,4.4,1.5,0.7,3.3,329000,15696.3,2.423,45.57,1252,89.1,4,2040.315431
2020,2,1,44.20291888,4.56,21528.78,Virginia Beach,1,0,0,Building Materials,339.0853612,336.87,725,1,4.4,1.5,0.7,3.3,329000,15696.3,2.005,21.69,1252,89.1,10,2246.429326
2020,2,1,44.20291888,4.56,5670.34,Virginia Beach,0,0,1,Home Appliances,153.114953,149.71,634,1,4.4,1.5,0.7,3.3,329000,15696.3,2.423,45.57,1252,89.1,0,1176.293527
2020,2,1,44.20291888,4.56,5670.34,Virginia Beach,0,0,0,Home Appliances,156.6580474,149.71,634,1,4.4,1.5,0.7,3.3,329000,15696.3,2.005,21.69,1252,89.1,0,917.2742337
2020,2,2,25,4.56,24687.44,Virginia Beach,1,0,0,Garden Equipment,490.2756539,443.91,926,1,4.4,1.5,0.7,3.4,329000,15696.3,2.375,32.39,1252,89.1,4,9000
2020,2,2,25,4.56,6745.91,Virginia Beach,1,0,0,HVAC,293.6462203,329.23,293,1,4.4,1.5,0.7,3.4,329000,15696.3,2.375,32.39,1252,89.1,0,9000
2020,2,2,25,4.56,17745.71,Virginia Beach,1,0,0,Outdoor Furniture,62.51103308,63.96,775,1,4.4,1.5,0.7,3.4,329000,15696.3,2.375,32.39,1252,89.1,0,9000
2020,2,2,25,4.56,6714.36,Virginia Beach,1,0,0,Building Materials,294.6958354,336.87,725,1,4.4,1.5,0.7,3.4,329000,15696.3,2.375,32.39,1252,89.1,0,9000
2020,2,2,25,4.56,26084.94,Virginia Beach,1,0,0,Home Appliances,155.1116951,149.71,634,1,4.4,1.5,0.7,3.4,329000,15696.3,2.375,32.39,1252,89.1,5,9000
