fiscal_year,month,week,temperature,precipitation,marketing_spend,store,promotion,holiday,natural_disaster,product_category,avg_selling_price,planned_avg_selling_price,planned_units,Fiscal Quarter,Unemployment %,Core PCE YoY %,Fed Funds %,30yr Mortgage %,Median US Home Sale Price,Real Disposable Personal Income,Avg US Gas Prices (Regular),WTI Crude Oil Spot Price,Housing Starts,U of M Consumer Sentiment,promotion_discount,unit_sales
2020,1,1,76.78770937,9.99,27268.73,Miami,0,1,0,Garden Equipment,267.7591469,241.06,122,1,3.5,1.7,1.6,3.5,329000,15918,2.455,50.36,1537,101,0,964.0345074
2020,1,1,76.78770937,9.99,31559.36,Miami,1,1,0,HVAC,213.2829968,197.51,623,1,3.5,1.7,1.6,3.5,329000,15918,2.455,50.36,1537,101,3,1646.711372
2020,1,1,76.78770937,9.99,21999.41,Miami,0,1,0,Outdoor Furniture,264.1835719,241.36,225,1,3.5,1.7,1.6,3.5,329000,15918,2.455,50.36,1537,101,0,931.6355231
2020,1,1,76.78770937,9.99,26379.74,Miami,0,1,0,Building Materials,417.0812303,409.86,928,1,3.5,1.7,1.6,3.5,329000,15918,2.455,50.36,1537,101,0,1980.613296
2020,1,1,76.78770937,9.99,28043.07,Miami,1,1,0,Home Appliances,243.7080189,258.07,168,1,3.5,1.7,1.6,3.5,329000,15918,2.455,50.36,1537,101,2,1143.982952
2020,1,2,76.78770937,9.99,25452.64,Miami,1,0,0,Garden Equipment,228.1756612,241.06,122,1,3.5,1.7,1.6,3.5,329000,15918,2.419,50.83,1537,101,10,1037.679282
2020,1,2,76.78770937,9.99,28473.28,Miami,1,0,0,HVAC,213.5821727,197.51,623,1,3.5,1.7,1.6,3.5,329000,15918,2.419,50.83,1537,101,3,1765.097284
2020,1,2,76.78770937,9.99,12702.3,Miami,0,0,0,Outdoor Furniture,230.2034513,241.36,225,1,3.5,1.7,1.6,3.5,329000,15918,2.419,50.83,1537,101,0,616.168736
2020,1,2,76.78770937,9.99,25594.75,Miami,1,0,0,Building Materials,365.4326595,409.86,928,1,3.5,1.7,1.6,3.5,329000,15918,2.419,50.83,1537,101,4,1979.778032
2020,1,2,76.78770937,9.99,18723.49,Miami,1,0,0,Home Appliances,246.6892024,258.07,168,1,3.5,1.7,1.6,3.5,329000,15918,2.419,50.83,1537,101,2,732.2720143
2020,1,3,76.78770937,9.99,14302.41,Miami,0,0,0,Garden Equipment,219.7790998,241.06,122,1,3.5,1.7,1.6,3.5,329000,15918,2.428,53.14,1537,101,0,520.9049911
2020,1,3,76.78770937,9.99,5251.23,Miami,0,0,0,HVAC,178.4446351,197.51,623,1,3.5,1.7,1.6,3.5,329000,15918,2.428,53.14,1537,101,0,884.6550295
2020,1,3,76.78770937,9.99,13901.37,Miami,1,0,0,Outdoor Furniture,243.3376237,241.36,225,1,3.5,1.7,1.6,3.5,329000,15918,2.428,53.14,1537,101,3,528.310968
2020,1,3,76.78770937,9.99,18900.91,Miami,0,0,1,Building Materials,442.9105089,409.86,928,1,3.5,1.7,1.6,3.5,329000,15918,2.428,53.14,1537,101,0,1710.142911
2020,1,3,76.78770937,9.99,27378.78,Miami,1,0,0,Home Appliances,241.3221704,258.07,168,1,3.5,1.7,1.6,3.5,329000,15918,2.428,53.14,1537,101,3,1253.647735
2020,1,4,76.78770937,9.99,20930.84,Miami,1,0,0,Garden Equipment,244.0466259,241.06,122,1,3.5,1.7,1.6,3.5,329000,15918,2.466,48.36,1537,101,2,842.4057284
2020,1,4,76.78770937,9.99,27236.54,Miami,1,0,0,HVAC,205.1006009,197.51,623,1,3.5,1.7,1.6,3.5,329000,15918,2.466,48.36,1537,101,10,1683.126765
2020,1,4,76.78770937,9.99,16934.18,Miami,1,0,0,Outdoor Furniture,256.7895841,241.36,225,1,3.5,1.7,1.6,3.5,329000,15918,2.466,48.36,1537,101,5,962.5993268
2020,1,4,76.78770937,9.99,7022.7,Miami,0,0,0,Building Materials,390.2665019,409.86,928,1,3.5,1.7,1.6,3.5,329000,15918,2.466,48.36,1537,101,0,1079.859398
2020,1,4,76.78770937,9.99,24242.38,Miami,1,0,0,Home Appliances,257.5817351,258.07,168,1,3.5,1.7,1.6,3.5,329000,15918,2.466,48.36,1537,101,4,999.8860765
2020,2,1,65.35320287,9.34,19069.43,Miami,1,0,0,Garden Equipment,258.134115,241.06,122,1,4.4,1.5,0.7,3.3,329000,15696.3,2.423,45.57,1252,89.1,2,714.3329958
2020,2,1,65.35320287,9.34,19069.43,Miami,1,0,0,Garden Equipment,258.2326159,241.06,122,1,4.4,1.5,0.7,3.3,329000,15696.3,2.005,21.69,1252,89.1,2,721.1011971
2020,2,1,65.35320287,9.34,16741.93,Miami,0,0,0,HVAC,201.4152711,197.51,623,1,4.4,1.5,0.7,3.3,329000,15696.3,2.423,45.57,1252,89.1,0,1057.878642
2020,2,1,65.35320287,9.34,16741.93,Miami,0,0,0,HVAC,192.7532292,197.51,623,1,4.4,1.5,0.7,3.3,329000,15696.3,2.005,21.69,1252,89.1,0,1172.436558
